Team,Group
McLaren,Group 1
BMW Sauber,Group 4
Williams,Group 1
Renault,Group 4
Toro Rosso,Group 4
Ferrari,Group 1
Toyota,Group 4
Super Aguri,Group 2
Red Bull,Group 1
Force India,Group 4
Honda,Group 4
Spyker,Group 2
Midland F1 Racing,Group 2
Spyker Midland F1 Racing,Group 2
Sauber,Group 4
British American Racing,Group 4
Jordan,Group 4
Minardi,Group 2
Jaguar,Group 2
Prost,Group 2
Arrows,Group 4
Benetton,Group 4
Brawn,Group 3
Stewart,Group 2
Tyrrell,Group 4
Lola,Group 4
Ligier,Group 4
Forti,Group 2
Footwork,Group 2
Pacific,Group 2
Simtek,Group 2
Team Lotus,Group 4
Larrousse,Group 2
Brabham,Group 4
Dallara,Group 2
Fondmetal,Group 2
March,Group 4
Andrea Moda,Group 2
Automobiles Gonfaronnaises Sportives,Group 2
Lambo,Group 2
Leyton House,Group 2
Coloni,Group 2
Euro Brun,Group 2
Osella,Group 2
Onyx,Group 2
Life,Group 2
Rial,Group 2
Zakspeed,Group 2
RAM Racing,Group 2
Alfa Romeo,Group 4
Spirit,Group 2
Toleman,Group 2
Automobili Turismo e Sport,Group 2
Theodore,Group 2
Fittipaldi,Group 2
Ensign,Group 2
Shadow,Group 2
Wolf,Group 4
Merzario,Group 2
Kauhsen,Group 2
Rebaque,Group 2
Surtees,Group 2
Hesketh,Group 2
Martini,Group 2
British Racing Motors,Group 4
Penske,Group 2
LEC Refrigeration Racing Team,Group 2
McGuire,Group 2
Boro,Group 2
Apollon,Group 2
Kojima,Group 2
Parnelli,Group 2
Maki,Group 2
Embassy Hill,Group 2
Lyncar,Group 2
Trojan,Group 2
Amon,Group 2
Token,Group 2
Iso Marlboro,Group 2
Tecno,Group 2
Matra,Group 2
Politoys,Group 2
Connew,Group 2
Bellasi,Group 2
De Tomaso,Group 2
Cooper,Group 2
Eagle,Group 2
Louis Douglas Serrurier,Group 2
Protos,Group 2
Shannon,Group 2
Scirocco,Group 2
Reg Parnell Engineering,Group 2
British Racing Partnership,Group 2
Porsche,Group 2
Derrington,Group 2
Gilby,Group 2
Stebro,Group 2
Emeryson,Group 2
Emeryson Nichels Britain,Group 2
JBW,Group 2
Ferguson,Group 2
Monteverdi Basel Motoren,Group 2
Behra-Porsche,Group 2
Maserati,Group 4
Scarab,Group 2
Watson,Group 2
Epperly,Group 2
Phillips,Group 2
Lesovsky,Group 2
Trevis,Group 2
Meskowski,Group 2
Kurtis Kraft,Group 2
Kuzma,Group 2
Christensen,Group 2
Ewing,Group 2
Aston Martin,Group 4
Vanwall,Group 4
Moore,Group 2
Dunn,Group 2
Elder,Group 2
Sutton,Group 2
Fry,Group 2
Tec-Mec,Group 2
Connaught,Group 2
Alta,Group 2
Officine Specializzate Costruzione Automobili,Group 2
Gordini,Group 2
Stevens,Group 2
Bugatti,Group 2
Mercedes,Group 1
Lancia,Group 2
Hersham and Walton Motors,Group 2
Schroeder,Group 2
Pawl,Group 2
Pankratz,Group 2
Arzani-Volpini,Group 2
Nichels,Group 2
Bromme,Group 2
Klenk,Group 2
Simca,Group 2
Turner,Group 2
Del Roy,Group 2
Veritas,Group 2
BMW,Group 2
Eisenacher Motorenwerk,Group 2
Alex von Falkenhausen Motorenbau,Group 2
Frazer Nash,Group 2
Sherman,Group 2
Deidt,Group 2
English Racing Automobiles,Group 2
Aston Butterworth,Group 2
Cisitalia,Group 2
Talbot-Lago,Group 2
Hall,Group 2
Marchese,Group 2
Langley,Group 2
Rae,Group 2
Olson,Group 2
Wetteroth,Group 2
Adams,Group 2
Snowberger,Group 2
Milano,Group 2
Hispania Racing Team,Group 2
Cooper-Maserati,Group 2
Virgin,Group 2
Cooper-OSCA,Group 2
Cooper-Borgward,Group 2
Cooper-Climax,Group 4
Cooper-Castellotti,Group 2
Lotus-Climax,Group 4
Lotus-Maserati,Group 2
De Tomaso-Osca,Group 2
De Tomaso-Alfa Romeo,Group 2
Lotus-BRM,Group 2
Lotus-Borgward,Group 2
Cooper-Alfa Romeo,Group 2
De Tomaso-Ferrari,Group 2
Lotus-Ford,Group 4
Brabham-BRM,Group 2
Brabham-Ford,Group 2
Brabham-Climax,Group 2
LDS-Climax,Group 2
LDS-Alfa Romeo,Group 2
Cooper-Ford,Group 2
McLaren-Ford,Group 4
McLaren-Serenissima,Group 2
Eagle-Climax,Group 2
Eagle-Weslake,Group 2
Brabham-Repco,Group 3
Cooper-Ferrari,Group 2
Cooper-ATS,Group 2
McLaren-BRM,Group 2
Cooper-BRM,Group 2
Matra-Ford,Group 3
BRM-Ford,Group 2
McLaren-Alfa Romeo,Group 2
March-Alfa Romeo,Group 2
March-Ford,Group 4
Lotus-Pratt &amp; Whitney,Group 2
Shadow-Ford,Group 2
Shadow-Matra,Group 2
Brabham-Alfa Romeo,Group 2
Lotus,Group 2
Marussia,Group 2
Caterham,Group 2
Lotus F1,Group 4
Manor Marussia,Group 2
Haas F1 Team,Group 2
Racing Point,Group 4
AlphaTauri,Group 4
Alpine F1 Team,Group 4
Racing Bulls F1 Team,Group 2
