name,constructor_championships,first_year,last_year,total_points,total_podiums,win_rate,podium_rate
McLaren,9.0,1968.0,Still on the goddamn grid,7022.5,508.0,9.62,26.42
BMW Sauber,0.0,2006.0,2009,308.0,17.0,0.71,12.14
Williams,9.0,1975.0,Still on the goddamn grid,3641.0,314.0,6.8,18.74
Renault,2.0,1977.0,2020,1777.0,103.0,4.45,13.09
Toro Rosso,0.0,2006.0,2019,500.0,3.0,0.19,0.56
Ferrari,16.0,1950.0,Still on the goddamn grid,11091.27,841.0,10.21,34.48
Toyota,0.0,2002.0,2009,278.5,13.0,0.0,4.64
Super Aguri,0.0,2006.0,2008,4.0,0.0,0.0,0.0
Red Bull,6.0,2005.0,Still on the goddamn grid,7673.0,282.0,15.48,35.79
Force India,0.0,2008.0,2018,1098.0,6.0,0.0,1.42
Honda,0.0,1964.0,2008,156.0,9.0,1.97,5.92
Spyker,0.0,2007.0,2007,1.0,0.0,0.0,0.0
Midland F1 Racing,0.0,2006.0,2006,0.0,0.0,0.0,0.0
Spyker Midland F1 Racing,0.0,2006.0,2006,0.0,0.0,0.0,0.0
Sauber,0.0,1993.0,Still on the goddamn grid,561.0,10.0,0.0,1.19
British American Racing,0.0,1999.0,2005,227.0,15.0,0.0,6.36
Jordan,0.0,1991.0,2005,291.0,19.0,0.8,3.8
Minardi,0.0,1985.0,2005,38.0,0.0,0.0,0.0
Jaguar,0.0,2000.0,2004,49.0,2.0,0.0,1.18
Prost,0.0,1997.0,2001,35.0,3.0,0.0,1.82
Arrows,0.0,1978.0,2002,142.0,8.0,0.0,1.36
Benetton,1.0,1986.0,2001,861.5,102.0,5.19,19.62
Brawn,1.0,2009.0,2009,172.0,15.0,23.53,44.12
Stewart,0.0,1997.0,1999,47.0,5.0,1.02,5.1
Tyrrell,1.0,1970.0,1998,711.0,77.0,2.61,8.74
Lola,0.0,1962.0,1997,27.0,2.0,0.0,1.21
Ligier,0.0,1976.0,1996,388.0,50.0,1.47,8.18
Forti,0.0,1995.0,1996,0.0,0.0,0.0,0.0
Footwork,0.0,1991.0,1996,25.0,1.0,0.0,0.52
Pacific,0.0,1994.0,1995,0.0,0.0,0.0,0.0
Simtek,0.0,1994.0,1995,0.0,0.0,0.0,0.0
Team Lotus,4.0,1958.0,1994,995.0,114.0,5.17,13.09
Larrousse,0.0,1987.0,1994,22.0,1.0,0.0,0.46
Brabham,0.0,1962.0,1992,631.0,78.0,3.47,11.78
Dallara,0.0,1988.0,1992,15.0,2.0,0.0,1.39
Fondmetal,0.0,1991.0,1992,0.0,0.0,0.0,0.0
March,0.0,1970.0,1992,148.0,16.0,0.57,3.05
Andrea Moda,0.0,1992.0,1992,0.0,0.0,0.0,0.0
Automobiles Gonfaronnaises Sportives,0.0,1986.0,1991,2.0,0.0,0.0,0.0
Lambo,0.0,1991.0,1991,0.0,0.0,0.0,0.0
Leyton House,0.0,1990.0,1991,8.0,1.0,0.0,1.56
Coloni,0.0,1987.0,1991,0.0,0.0,0.0,0.0
Euro Brun,0.0,1988.0,1990,0.0,0.0,0.0,0.0
Osella,0.0,1980.0,1990,5.0,0.0,0.0,0.0
Onyx,0.0,1989.0,1990,6.0,1.0,0.0,1.92
Life,0.0,1990.0,1990,0.0,0.0,0.0,0.0
Rial,0.0,1988.0,1989,6.0,0.0,0.0,0.0
Zakspeed,0.0,1985.0,1989,2.0,0.0,0.0,0.0
RAM Racing,0.0,1983.0,1985,0.0,0.0,0.0,0.0
Alfa Romeo,0.0,1950.0,2023,361.0,28.0,2.44,6.21
Spirit,0.0,1983.0,1985,0.0,0.0,0.0,0.0
Toleman,0.0,1981.0,1985,26.0,3.0,0.0,2.29
